CCODE,ENTRY DATE (DDMMYY),DATE IN WORDS,DIVIDEND RATE
HDFCBANK,100524,10 MAY 2024,19.5
SBIN,220524,22 MAY 2024,13.7
INFY,310524,31 MAY 2024,28.0
ITC,040624,04 JUNE 2024,7.5
ASIANPAINT,110624,11 JUNE 2024,28.2
HINDUNILVR,140624,14 JUNE 2024,24.0
TCS,190724,19 JULY 2024,10.0
RELIANCE,190824,19 AUGUST 2024,10.0
TCS,181024,18 OCTOBER 2024,10.0
INFY,291024,29 OCTOBER 2024,21.0
HINDUNILVR,071124,07 NOVEMBER 2024,19.0
TCS,170125,17 JANUARY 2025,76.0
WIPRO,240125,24 JANUARY 2025,6.0
ITC,060225,06 FEBRUARY 2025,6.5
SBIN,160525,16 MAY 2025,15.9
ITC,280525,28 MAY 2025,7.9
INFY,300525,30 MAY 2025,22.0
TCS,040625,04 JUNE 2025,30.0
ASIANPAINT,100625,10 JUNE 2025,20.6
HINDUNILVR,130625,13 JUNE 2025,24.0
HDFCBANK,270625,27 JUNE 2025,22.0
TCS,160725,16 JULY 2025,11.0
HDFCBANK,250725,25 JULY 2025,5.0
RELIANCE,140825,14 AUGUST 2025,5.5
TCS,151025,15 OCTOBER 2025,11.0
INFY,271025,27 OCTOBER 2025,23.0
