CCODE,ENTRY DATE (DDMMYY),DATE IN WORDS,LOW VALUE,HIGH VALUE
SBIN,310125,31 JANUARY 2025,768,810
TCS,310125,31 JANUARY 2025,3967,4347
RELIANCE,310125,31 JANUARY 2025,1181,1280
WIPRO,310125,31 JANUARY 2025,281,313
INFY,310125,31 JANUARY 2025,1789,1906
ASIANPAINT,310125,31 JANUARY 2025,2166,2369
HDFCBANK,310125,31 JANUARY 2025,1762,1912
HINDUNILVR,310125,31 JANUARY 2025,2350,2509
ITC,310125,31 JANUARY 2025,400,451
RELIANCE,280225,28 FEBRUARY 2025,1234,1322
WIPRO,280225,28 FEBRUARY 2025,291,321
TCS,280225,28 FEBRUARY 2025,3904,4270
ASIANPAINT,280225,28 FEBRUARY 2025,2250,2445
INFY,280225,28 FEBRUARY 2025,1861,1959
HINDUNILVR,280225,28 FEBRUARY 2025,2269,2491
HDFCBANK,280225,28 FEBRUARY 2025,1718,1933
ITC,280225,28 FEBRUARY 2025,414,470
SBIN,280225,28 FEBRUARY 2025,756,827
RELIANCE,310325,31 MARCH 2025,1262,1349
WIPRO,310325,31 MARCH 2025,294,329
TCS,310325,31 MARCH 2025,3821,4114
ASIANPAINT,310325,31 MARCH 2025,2305,2442
INFY,310325,31 MARCH 2025,1842,1950
HINDUNILVR,310325,31 MARCH 2025,2347,2487
HDFCBANK,310325,31 MARCH 2025,1715,1874
SBIN,310325,31 MARCH 2025,764,825
ITC,310325,31 MARCH 2025,433,488
ITC,300425,30 APRIL 2025,444,475
TCS,300425,30 APRIL 2025,3669,4081
HDFCBANK,300425,30 APRIL 2025,1668,1865
INFY,300425,30 APRIL 2025,1778,2014
SBIN,300425,30 APRIL 2025,766,842
HINDUNILVR,300425,30 APRIL 2025,2331,2563
ASIANPAINT,300425,30 APRIL 2025,2185,2407
WIPRO,300425,30 APRIL 2025,299,322
RELIANCE,300425,30 APRIL 2025,1234,1388
RELIANCE,300525,30 MAY 2025,1261,1355
WIPRO,300525,30 MAY 2025,292,326
HDFCBANK,300525,30 MAY 2025,1749,1895
SBIN,300525,30 MAY 2025,758,845
INFY,300525,30 MAY 2025,1834,1987
ASIANPAINT,300525,30 MAY 2025,2174,2363
HINDUNILVR,300525,30 MAY 2025,2382,2518
ITC,300525,30 MAY 2025,450,501
TCS,300525,30 MAY 2025,3594,3978
WIPRO,300625,30 JUNE 2025,287,312
ITC,300625,30 JUNE 2025,443,493
SBIN,300625,30 JUNE 2025,765,809
HDFCBANK,300625,30 JUNE 2025,1729,1853
HINDUNILVR,300625,30 JUNE 2025,2297,2426
INFY,300625,30 JUNE 2025,1791,1978
